Index: 164, yy: 7, fitness[0]: 310
Index: 175, yy: 7, fitness[0]: 340
Index: 174, yy: 7, fitness[0]: 340
Index: 165, yy: 7, fitness[0]: 220
Index: 169, yy: 7, fitness[0]: 250
Index: 171, yy: 7, fitness[0]: 220
Index: 166, yy: 0, fitness[0]: 150
Index: 162, yy: 7, fitness[0]: 310
Index: 170, yy: 7, fitness[0]: 310
Index: 167, yy: 7, fitness[0]: 250
Index: 160, yy: 7, fitness[0]: 250
Index: 161, yy: 7, fitness[0]: 310
Index: 168, yy: 7, fitness[0]: 310
Index: 163, yy: 7, fitness[0]: 220
Index: 172, yy: 7, fitness[0]: 340
Index: 173, yy: 0, fitness[0]: 210
Index: 176, yy: 7, fitness[0]: 310
Index: 179, yy: 7, fitness[0]: 310
Index: 178, yy: 0, fitness[0]: 240
Index: 177, yy: 7, fitness[0]: 220
