Index: 105, yy: 7, fitness[0]: 310
Index: 100, yy: 7, fitness[0]: 250
Index: 111, yy: 7, fitness[0]: 250
Index: 113, yy: 0, fitness[0]: 210
Index: 101, yy: 0, fitness[0]: 240
Index: 104, yy: 7, fitness[0]: 310
Index: 114, yy: 0, fitness[0]: 210
Index: 103, yy: 7, fitness[0]: 310
Index: 110, yy: 0, fitness[0]: 240
Index: 109, yy: 0, fitness[0]: 240
Index: 107, yy: 7, fitness[0]: 310
Index: 112, yy: 7, fitness[0]: 250
Index: 102, yy: 7, fitness[0]: 310
Index: 108, yy: 7, fitness[0]: 340
Index: 106, yy: 0, fitness[0]: 120
Index: 115, yy: 7, fitness[0]: 220
Index: 116, yy: 0, fitness[0]: 240
Index: 119, yy: 7, fitness[0]: 250
Index: 118, yy: 7, fitness[0]: 340
Index: 117, yy: 7, fitness[0]: 250
