Index: 194, yy: 0, fitness[0]: 240
Index: 182, yy: 0, fitness[0]: 120
Index: 188, yy: 0, fitness[0]: 210
Index: 193, yy: 7, fitness[0]: 340
Index: 180, yy: 7, fitness[0]: 340
Index: 195, yy: 7, fitness[0]: 250
Index: 181, yy: 7, fitness[0]: 340
Index: 185, yy: 7, fitness[0]: 250
Index: 192, yy: 7, fitness[0]: 250
Index: 191, yy: 7, fitness[0]: 340
Index: 183, yy: 0, fitness[0]: 60
Index: 190, yy: 7, fitness[0]: 340
Index: 186, yy: 0, fitness[0]: 210
Index: 189, yy: 7, fitness[0]: 310
Index: 187, yy: 7, fitness[0]: 340
Index: 184, yy: 0, fitness[0]: 150
Index: 199, yy: 7, fitness[0]: 250
Index: 196, yy: 7, fitness[0]: 340
Index: 197, yy: 7, fitness[0]: 340
Index: 198, yy: 7, fitness[0]: 310
