Index: 144, yy: 0, fitness[0]: 210
Index: 151, yy: 7, fitness[0]: 340
Index: 140, yy: 7, fitness[0]: 310
Index: 152, yy: 7, fitness[0]: 250
Index: 149, yy: 0, fitness[0]: 240
Index: 147, yy: 0, fitness[0]: 210
Index: 143, yy: 7, fitness[0]: 340
Index: 146, yy: 0, fitness[0]: 210
Index: 154, yy: 7, fitness[0]: 340
Index: 153, yy: 7, fitness[0]: 340
Index: 155, yy: 7, fitness[0]: 310
Index: 142, yy: 7, fitness[0]: 220
Index: 141, yy: 7, fitness[0]: 340
Index: 150, yy: 7, fitness[0]: 220
Index: 148, yy: 0, fitness[0]: 210
Index: 145, yy: 7, fitness[0]: 340
Index: 156, yy: 7, fitness[0]: 250
Index: 159, yy: 7, fitness[0]: 310
Index: 157, yy: 7, fitness[0]: 220
Index: 158, yy: 0, fitness[0]: 210
