Index: 20, yy: 0, fitness[0]: 240
Index: 23, yy: 0, fitness[0]: 210
Index: 29, yy: 7, fitness[0]: 340
Index: 27, yy: 0, fitness[0]: 150
Index: 30, yy: 7, fitness[0]: 250
Index: 35, yy: 7, fitness[0]: 250
Index: 34, yy: 7, fitness[0]: 220
Index: 21, yy: 7, fitness[0]: 220
Index: 26, yy: 7, fitness[0]: 340
Index: 25, yy: 0, fitness[0]: 240
Index: 31, yy: 7, fitness[0]: 220
Index: 33, yy: 7, fitness[0]: 220
Index: 32, yy: 0, fitness[0]: 240
Index: 22, yy: 7, fitness[0]: 220
Index: 24, yy: 7, fitness[0]: 340
Index: 28, yy: 7, fitness[0]: 340
Index: 37, yy: 7, fitness[0]: 340
Index: 39, yy: 7, fitness[0]: 220
Index: 36, yy: 0, fitness[0]: 120
Index: 38, yy: 7, fitness[0]: 220
