Index: 1, yy: 7, fitness[0]: 310
Index: 7, yy: 0, fitness[0]: 240
Index: 12, yy: 7, fitness[0]: 340
Index: 15, yy: 0, fitness[0]: 240
Index: 5, yy: 7, fitness[0]: 220
Index: 11, yy: 7, fitness[0]: 310
Index: 8, yy: 0, fitness[0]: 210
Index: 0, yy: 0, fitness[0]: 210
Index: 4, yy: 7, fitness[0]: 220
Index: 9, yy: 7, fitness[0]: 310
Index: 14, yy: 7, fitness[0]: 310
Index: 13, yy: 7, fitness[0]: 340
Index: 10, yy: 0, fitness[0]: 150
Index: 3, yy: 7, fitness[0]: 220
Index: 6, yy: 7, fitness[0]: 250
Index: 2, yy: 7, fitness[0]: 220
Index: 18, yy: 7, fitness[0]: 310
Index: 16, yy: 0, fitness[0]: 210
Index: 19, yy: 7, fitness[0]: 220
Index: 17, yy: 7, fitness[0]: 220
