Index: 127, yy: 7, fitness[0]: 220
Index: 128, yy: 0, fitness[0]: 150
Index: 132, yy: 7, fitness[0]: 220
Index: 126, yy: 7, fitness[0]: 220
Index: 122, yy: 0, fitness[0]: 210
Index: 121, yy: 7, fitness[0]: 310
Index: 124, yy: 7, fitness[0]: 340
Index: 125, yy: 0, fitness[0]: 240
Index: 131, yy: 7, fitness[0]: 220
Index: 120, yy: 7, fitness[0]: 340
Index: 123, yy: 7, fitness[0]: 340
Index: 133, yy: 0, fitness[0]: 240
Index: 130, yy: 0, fitness[0]: 210
Index: 135, yy: 7, fitness[0]: 310
Index: 134, yy: 0, fitness[0]: 210
Index: 129, yy: 7, fitness[0]: 340
Index: 138, yy: 0, fitness[0]: 210
Index: 139, yy: 7, fitness[0]: 250
Index: 136, yy: 0, fitness[0]: 210
Index: 137, yy: 7, fitness[0]: 250
