Index: 45, yy: 0, fitness[0]: 210
Index: 49, yy: 0, fitness[0]: 240
Index: 48, yy: 7, fitness[0]: 310
Index: 44, yy: 0, fitness[0]: 240
Index: 41, yy: 7, fitness[0]: 250
Index: 40, yy: 7, fitness[0]: 310
Index: 43, yy: 0, fitness[0]: 240
Index: 52, yy: 7, fitness[0]: 340
Index: 47, yy: 7, fitness[0]: 220
Index: 55, yy: 0, fitness[0]: 210
Index: 54, yy: 7, fitness[0]: 220
Index: 51, yy: 7, fitness[0]: 220
Index: 46, yy: 7, fitness[0]: 340
Index: 42, yy: 0, fitness[0]: 240
Index: 50, yy: 7, fitness[0]: 310
Index: 53, yy: 0, fitness[0]: 240
Index: 56, yy: 7, fitness[0]: 220
Index: 58, yy: 7, fitness[0]: 310
Index: 59, yy: 7, fitness[0]: 310
Index: 57, yy: 7, fitness[0]: 220
