Index: 95, yy: 7, fitness[0]: 220
Index: 90, yy: 7, fitness[0]: 340
Index: 85, yy: 7, fitness[0]: 220
Index: 82, yy: 7, fitness[0]: 310
Index: 81, yy: 7, fitness[0]: 250
Index: 94, yy: 7, fitness[0]: 310
Index: 91, yy: 0, fitness[0]: 210
Index: 84, yy: 7, fitness[0]: 340
Index: 80, yy: 0, fitness[0]: 240
Index: 87, yy: 7, fitness[0]: 340
Index: 86, yy: 7, fitness[0]: 340
Index: 83, yy: 7, fitness[0]: 250
Index: 89, yy: 7, fitness[0]: 340
Index: 92, yy: 0, fitness[0]: 210
Index: 93, yy: 0, fitness[0]: 210
Index: 88, yy: 7, fitness[0]: 220
Index: 98, yy: 0, fitness[0]: 210
Index: 97, yy: 7, fitness[0]: 250
Index: 99, yy: 0, fitness[0]: 240
Index: 96, yy: 7, fitness[0]: 310
