Index: 347, yy: 0, fitness[0]: 240
Index: 349, yy: 7, fitness[0]: 310
Index: 354, yy: 7, fitness[0]: 250
Index: 345, yy: 0, fitness[0]: 210
Index: 344, yy: 7, fitness[0]: 250
Index: 343, yy: 7, fitness[0]: 310
Index: 340, yy: 7, fitness[0]: 310
Index: 352, yy: 7, fitness[0]: 310
Index: 341, yy: 7, fitness[0]: 340
Index: 355, yy: 7, fitness[0]: 310
Index: 350, yy: 7, fitness[0]: 250
Index: 356, yy: 7, fitness[0]: 310
Index: 357, yy: 0, fitness[0]: 240
Index: 359, yy: 7, fitness[0]: 220
Index: 358, yy: 0, fitness[0]: 210
Index: 364, yy: 7, fitness[0]: 340
Index: 367, yy: 0, fitness[0]: 180
Index: 365, yy: 7, fitness[0]: 310
Index: 369, yy: 7, fitness[0]: 310
Index: 360, yy: 7, fitness[0]: 220
Index: 371, yy: 7, fitness[0]: 220
Index: 374, yy: 7, fitness[0]: 340
Index: 362, yy: 7, fitness[0]: 220
Index: 370, yy: 7, fitness[0]: 310
Index: 375, yy: 7, fitness[0]: 340
Index: 373, yy: 7, fitness[0]: 220
Index: 363, yy: 7, fitness[0]: 310
Index: 368, yy: 7, fitness[0]: 220
Index: 366, yy: 7, fitness[0]: 220
Index: 361, yy: 7, fitness[0]: 220
Index: 372, yy: 7, fitness[0]: 220
Index: 376, yy: 7, fitness[0]: 250
Index: 377, yy: 7, fitness[0]: 250
Index: 378, yy: 7, fitness[0]: 220
Index: 379, yy: 7, fitness[0]: 250
Index: 392, yy: 0, fitness[0]: 240
Index: 386, yy: 7, fitness[0]: 310
Index: 389, yy: 0, fitness[0]: 210
Index: 387, yy: 7, fitness[0]: 250
Index: 390, yy: 7, fitness[0]: 250
Index: 383, yy: 7, fitness[0]: 310
Index: 393, yy: 7, fitness[0]: 220
Index: 381, yy: 7, fitness[0]: 310
Index: 385, yy: 0, fitness[0]: 210
Index: 384, yy: 7, fitness[0]: 310
Index: 380, yy: 7, fitness[0]: 250
Index: 395, yy: 7, fitness[0]: 310
Index: 394, yy: 7, fitness[0]: 250
Index: 391, yy: 7, fitness[0]: 220
Index: 382, yy: 0, fitness[0]: 210
Index: 388, yy: 0, fitness[0]: 210
Index: 396, yy: 7, fitness[0]: 220
Index: 398, yy: 7, fitness[0]: 220
Index: 397, yy: 7, fitness[0]: 310
Index: 399, yy: 7, fitness[0]: 340
