Index: 463, yy: 7, fitness[0]: 310
Index: 462, yy: 7, fitness[0]: 310
Index: 461, yy: 7, fitness[0]: 310
Index: 472, yy: 7, fitness[0]: 250
Index: 468, yy: 7, fitness[0]: 250
Index: 465, yy: 7, fitness[0]: 340
Index: 467, yy: 7, fitness[0]: 310
Index: 464, yy: 7, fitness[0]: 310
Index: 470, yy: 7, fitness[0]: 220
Index: 460, yy: 7, fitness[0]: 250
Index: 475, yy: 7, fitness[0]: 250
Index: 473, yy: 7, fitness[0]: 340
Index: 474, yy: 7, fitness[0]: 310
Index: 471, yy: 7, fitness[0]: 310
Index: 466, yy: 7, fitness[0]: 220
Index: 469, yy: 7, fitness[0]: 340
Index: 479, yy: 7, fitness[0]: 250
Index: 476, yy: 7, fitness[0]: 310
Index: 477, yy: 7, fitness[0]: 310
Index: 478, yy: 7, fitness[0]: 340
