Index: 333, yy: 7, fitness[0]: 310
Index: 326, yy: 7, fitness[0]: 310
Index: 321, yy: 7, fitness[0]: 250
Index: 328, yy: 7, fitness[0]: 310
Index: 320, yy: 7, fitness[0]: 340
Index: 325, yy: 7, fitness[0]: 310
Index: 331, yy: 7, fitness[0]: 250
Index: 327, yy: 7, fitness[0]: 310
Index: 330, yy: 7, fitness[0]: 340
Index: 322, yy: 7, fitness[0]: 310
Index: 324, yy: 7, fitness[0]: 220
Index: 334, yy: 7, fitness[0]: 220
Index: 332, yy: 7, fitness[0]: 340
Index: 335, yy: 7, fitness[0]: 310
Index: 329, yy: 7, fitness[0]: 310
Index: 323, yy: 7, fitness[0]: 310
Index: 337, yy: 7, fitness[0]: 310
Index: 336, yy: 7, fitness[0]: 340
Index: 338, yy: 7, fitness[0]: 310
Index: 339, yy: 7, fitness[0]: 340
