Index: 430, yy: 7, fitness[0]: 310
Index: 425, yy: 7, fitness[0]: 310
Index: 432, yy: 7, fitness[0]: 250
Index: 431, yy: 7, fitness[0]: 250
Index: 423, yy: 7, fitness[0]: 310
Index: 420, yy: 7, fitness[0]: 250
Index: 426, yy: 7, fitness[0]: 220
Index: 427, yy: 7, fitness[0]: 340
Index: 428, yy: 7, fitness[0]: 310
Index: 429, yy: 7, fitness[0]: 310
Index: 424, yy: 7, fitness[0]: 340
Index: 422, yy: 7, fitness[0]: 250
Index: 421, yy: 7, fitness[0]: 220
Index: 433, yy: 7, fitness[0]: 310
Index: 434, yy: 7, fitness[0]: 310
Index: 435, yy: 7, fitness[0]: 220
Index: 437, yy: 7, fitness[0]: 310
Index: 439, yy: 7, fitness[0]: 340
Index: 438, yy: 7, fitness[0]: 250
Index: 436, yy: 7, fitness[0]: 340
