Index: 401, yy: 7, fitness[0]: 340
Index: 415, yy: 7, fitness[0]: 310
Index: 410, yy: 7, fitness[0]: 340
Index: 403, yy: 7, fitness[0]: 250
Index: 409, yy: 7, fitness[0]: 310
Index: 407, yy: 7, fitness[0]: 310
Index: 412, yy: 7, fitness[0]: 220
Index: 402, yy: 7, fitness[0]: 340
Index: 408, yy: 7, fitness[0]: 310
Index: 400, yy: 7, fitness[0]: 310
Index: 414, yy: 7, fitness[0]: 220
Index: 405, yy: 7, fitness[0]: 310
Index: 413, yy: 7, fitness[0]: 220
Index: 404, yy: 7, fitness[0]: 220
Index: 411, yy: 7, fitness[0]: 310
Index: 406, yy: 7, fitness[0]: 250
Index: 417, yy: 7, fitness[0]: 310
Index: 416, yy: 7, fitness[0]: 340
Index: 418, yy: 7, fitness[0]: 310
Index: 419, yy: 7, fitness[0]: 340
