Index: 483, yy: 7, fitness[0]: 310
Index: 487, yy: 7, fitness[0]: 310
Index: 493, yy: 7, fitness[0]: 340
Index: 495, yy: 7, fitness[0]: 340
Index: 485, yy: 7, fitness[0]: 220
Index: 489, yy: 7, fitness[0]: 310
Index: 480, yy: 7, fitness[0]: 220
Index: 484, yy: 7, fitness[0]: 340
Index: 490, yy: 7, fitness[0]: 340
Index: 488, yy: 7, fitness[0]: 340
Index: 481, yy: 7, fitness[0]: 340
Index: 491, yy: 7, fitness[0]: 220
Index: 482, yy: 7, fitness[0]: 220
Index: 494, yy: 7, fitness[0]: 340
Index: 492, yy: 7, fitness[0]: 310
Index: 486, yy: 7, fitness[0]: 340
Index: 497, yy: 7, fitness[0]: 340
Index: 496, yy: 7, fitness[0]: 220
Index: 499, yy: 7, fitness[0]: 220
Index: 498, yy: 7, fitness[0]: 250
