Index: 441, yy: 7, fitness[0]: 220
Index: 453, yy: 7, fitness[0]: 340
Index: 452, yy: 7, fitness[0]: 310
Index: 454, yy: 7, fitness[0]: 310
Index: 451, yy: 7, fitness[0]: 340
Index: 445, yy: 7, fitness[0]: 220
Index: 455, yy: 7, fitness[0]: 310
Index: 450, yy: 7, fitness[0]: 340
Index: 448, yy: 7, fitness[0]: 310
Index: 443, yy: 7, fitness[0]: 340
Index: 444, yy: 7, fitness[0]: 340
Index: 446, yy: 7, fitness[0]: 310
Index: 440, yy: 7, fitness[0]: 340
Index: 449, yy: 7, fitness[0]: 310
Index: 447, yy: 7, fitness[0]: 310
Index: 442, yy: 7, fitness[0]: 310
Index: 456, yy: 7, fitness[0]: 310
Index: 459, yy: 7, fitness[0]: 310
Index: 458, yy: 7, fitness[0]: 340
Index: 457, yy: 7, fitness[0]: 220
