Index: 309, uu: 6, fitness[0]: 280
Index: 304, uu: 6, fitness[0]: 280
Index: 307, uu: 0, fitness[0]: 180
Index: 308, uu: 6, fitness[0]: 250
Index: 314, uu: 0, fitness[0]: 180
Index: 303, uu: 6, fitness[0]: 310
Index: 313, uu: 0, fitness[0]: 180
Index: 312, uu: 6, fitness[0]: 250
Index: 300, uu: 6, fitness[0]: 250
Index: 310, uu: 6, fitness[0]: 190
Index: 302, uu: 6, fitness[0]: 130
Index: 315, uu: 6, fitness[0]: 310
Index: 306, uu: 6, fitness[0]: 310
Index: 305, uu: 6, fitness[0]: 220
Index: 301, uu: 6, fitness[0]: 160
Index: 311, uu: 6, fitness[0]: 220
Index: 319, uu: 0, fitness[0]: 180
Index: 317, uu: 6, fitness[0]: 250
Index: 316, uu: 6, fitness[0]: 130
Index: 318, uu: 6, fitness[0]: 100
