Index: 390, uu: 6, fitness[0]: 280
Index: 392, uu: 6, fitness[0]: 280
Index: 393, uu: 0, fitness[0]: 210
Index: 394, uu: 6, fitness[0]: 160
Index: 391, uu: 6, fitness[0]: 100
Index: 388, uu: 6, fitness[0]: 250
Index: 382, uu: 6, fitness[0]: 220
Index: 387, uu: 6, fitness[0]: 190
Index: 380, uu: 0, fitness[0]: 210
Index: 386, uu: 6, fitness[0]: 280
Index: 389, uu: 6, fitness[0]: 100
Index: 383, uu: 0, fitness[0]: 180
Index: 395, uu: 0, fitness[0]: 180
Index: 385, uu: 0, fitness[0]: 150
Index: 381, uu: 6, fitness[0]: 220
Index: 384, uu: 6, fitness[0]: 190
Index: 396, uu: 0, fitness[0]: 150
Index: 399, uu: 6, fitness[0]: 250
Index: 398, uu: 6, fitness[0]: 220
Index: 397, uu: 6, fitness[0]: 160
