Index: 93, uu: 0, fitness[0]: 150
Index: 90, uu: 6, fitness[0]: 130
Index: 88, uu: 6, fitness[0]: 130
Index: 83, uu: 6, fitness[0]: 220
Index: 92, uu: 6, fitness[0]: 190
Index: 89, uu: 6, fitness[0]: 160
Index: 80, uu: 6, fitness[0]: 220
Index: 82, uu: 6, fitness[0]: 130
Index: 81, uu: 6, fitness[0]: 250
Index: 91, uu: 6, fitness[0]: 250
Index: 95, uu: 6, fitness[0]: 250
Index: 85, uu: 6, fitness[0]: 130
Index: 84, uu: 6, fitness[0]: 220
Index: 86, uu: 0, fitness[0]: 150
Index: 87, uu: 6, fitness[0]: 160
Index: 94, uu: 6, fitness[0]: 280
Index: 97, uu: 6, fitness[0]: 250
Index: 99, uu: 6, fitness[0]: 220
Index: 98, uu: 0, fitness[0]: 210
Index: 96, uu: 0, fitness[0]: 150
