Index: 273, uu: 6, fitness[0]: 250
Index: 268, uu: 0, fitness[0]: 210
Index: 265, uu: 6, fitness[0]: 220
Index: 260, uu: 6, fitness[0]: 250
Index: 267, uu: 6, fitness[0]: 160
Index: 266, uu: 6, fitness[0]: 130
Index: 272, uu: 6, fitness[0]: 250
Index: 274, uu: 6, fitness[0]: 220
Index: 275, uu: 0, fitness[0]: 150
Index: 269, uu: 6, fitness[0]: 220
Index: 270, uu: 0, fitness[0]: 210
Index: 262, uu: 0, fitness[0]: 150
Index: 264, uu: 6, fitness[0]: 130
Index: 263, uu: 6, fitness[0]: 160
Index: 271, uu: 6, fitness[0]: 310
Index: 261, uu: 0, fitness[0]: 150
Index: 277, uu: 6, fitness[0]: 190
Index: 276, uu: 6, fitness[0]: 100
Index: 279, uu: 6, fitness[0]: 310
Index: 278, uu: 6, fitness[0]: 250
