Index: 152, uu: 6, fitness[0]: 310
Index: 149, uu: 6, fitness[0]: 280
Index: 150, uu: 6, fitness[0]: 100
Index: 146, uu: 6, fitness[0]: 220
Index: 151, uu: 6, fitness[0]: 220
Index: 142, uu: 6, fitness[0]: 220
Index: 154, uu: 0, fitness[0]: 180
Index: 144, uu: 6, fitness[0]: 160
Index: 148, uu: 6, fitness[0]: 280
Index: 155, uu: 6, fitness[0]: 220
Index: 140, uu: 0, fitness[0]: 90
Index: 143, uu: 6, fitness[0]: 280
Index: 153, uu: 6, fitness[0]: 250
Index: 145, uu: 6, fitness[0]: 190
Index: 147, uu: 0, fitness[0]: 180
Index: 141, uu: 6, fitness[0]: 220
Index: 158, uu: 6, fitness[0]: 340
Index: 156, uu: 6, fitness[0]: 130
Index: 157, uu: 6, fitness[0]: 220
Index: 159, uu: 6, fitness[0]: 220
