Index: 50, uu: 0, fitness[0]: 150
Index: 53, uu: 0, fitness[0]: 210
Index: 55, uu: 0, fitness[0]: 150
Index: 40, uu: 6, fitness[0]: 280
Index: 46, uu: 6, fitness[0]: 280
Index: 47, uu: 6, fitness[0]: 280
Index: 43, uu: 0, fitness[0]: 150
Index: 42, uu: 6, fitness[0]: 190
Index: 44, uu: 0, fitness[0]: 210
Index: 51, uu: 0, fitness[0]: 180
Index: 54, uu: 6, fitness[0]: 190
Index: 45, uu: 6, fitness[0]: 160
Index: 49, uu: 0, fitness[0]: 180
Index: 52, uu: 0, fitness[0]: 150
Index: 48, uu: 0, fitness[0]: 210
Index: 41, uu: 6, fitness[0]: 100
Index: 56, uu: 6, fitness[0]: 280
Index: 59, uu: 6, fitness[0]: 280
Index: 58, uu: 6, fitness[0]: 250
Index: 57, uu: 6, fitness[0]: 250
