Index: 280, uu: 6, fitness[0]: 130
Index: 294, uu: 6, fitness[0]: 220
Index: 288, uu: 6, fitness[0]: 220
Index: 284, uu: 0, fitness[0]: 180
Index: 286, uu: 6, fitness[0]: 160
Index: 281, uu: 6, fitness[0]: 190
Index: 292, uu: 6, fitness[0]: 220
Index: 285, uu: 6, fitness[0]: 130
Index: 287, uu: 0, fitness[0]: 210
Index: 283, uu: 6, fitness[0]: 280
Index: 295, uu: 0, fitness[0]: 180
Index: 282, uu: 6, fitness[0]: 130
Index: 290, uu: 6, fitness[0]: 220
Index: 289, uu: 6, fitness[0]: 250
Index: 293, uu: 6, fitness[0]: 250
Index: 291, uu: 6, fitness[0]: 250
Index: 296, uu: 6, fitness[0]: 220
Index: 298, uu: 6, fitness[0]: 190
Index: 297, uu: 0, fitness[0]: 180
Index: 299, uu: 6, fitness[0]: 220
