Index: 344, uu: 6, fitness[0]: 250
Index: 347, uu: 6, fitness[0]: 250
Index: 340, uu: 6, fitness[0]: 100
Index: 352, uu: 0, fitness[0]: 120
Index: 341, uu: 0, fitness[0]: 150
Index: 343, uu: 6, fitness[0]: 310
Index: 351, uu: 6, fitness[0]: 220
Index: 349, uu: 6, fitness[0]: 190
Index: 345, uu: 6, fitness[0]: 220
Index: 346, uu: 0, fitness[0]: 180
Index: 353, uu: 6, fitness[0]: 310
Index: 350, uu: 0, fitness[0]: 180
Index: 355, uu: 6, fitness[0]: 130
Index: 342, uu: 6, fitness[0]: 190
Index: 354, uu: 0, fitness[0]: 180
Index: 348, uu: 6, fitness[0]: 310
Index: 357, uu: 6, fitness[0]: 250
Index: 356, uu: 6, fitness[0]: 250
Index: 359, uu: 6, fitness[0]: 190
Index: 358, uu: 6, fitness[0]: 190
