Index: 220, uu: 0, fitness[0]: 150
Index: 235, uu: 6, fitness[0]: 220
Index: 221, uu: 6, fitness[0]: 250
Index: 222, uu: 6, fitness[0]: 130
Index: 229, uu: 6, fitness[0]: 280
Index: 227, uu: 6, fitness[0]: 220
Index: 228, uu: 6, fitness[0]: 220
Index: 232, uu: 6, fitness[0]: 160
Index: 223, uu: 0, fitness[0]: 180
Index: 233, uu: 6, fitness[0]: 160
Index: 231, uu: 6, fitness[0]: 250
Index: 226, uu: 6, fitness[0]: 250
Index: 224, uu: 6, fitness[0]: 250
Index: 230, uu: 6, fitness[0]: 100
Index: 234, uu: 6, fitness[0]: 220
Index: 225, uu: 6, fitness[0]: 190
Index: 238, uu: 0, fitness[0]: 180
Index: 236, uu: 6, fitness[0]: 100
Index: 239, uu: 0, fitness[0]: 210
Index: 237, uu: 6, fitness[0]: 220
