Index: 122, uu: 6, fitness[0]: 100
Index: 133, uu: 6, fitness[0]: 220
Index: 121, uu: 0, fitness[0]: 180
Index: 120, uu: 0, fitness[0]: 210
Index: 128, uu: 0, fitness[0]: 180
Index: 125, uu: 0, fitness[0]: 180
Index: 132, uu: 0, fitness[0]: 210
Index: 130, uu: 6, fitness[0]: 250
Index: 127, uu: 6, fitness[0]: 250
Index: 134, uu: 0, fitness[0]: 150
Index: 126, uu: 6, fitness[0]: 100
Index: 131, uu: 6, fitness[0]: 220
Index: 135, uu: 6, fitness[0]: 250
Index: 124, uu: 0, fitness[0]: 210
Index: 129, uu: 6, fitness[0]: 310
Index: 123, uu: 6, fitness[0]: 250
Index: 136, uu: 6, fitness[0]: 310
Index: 137, uu: 0, fitness[0]: 150
Index: 139, uu: 6, fitness[0]: 280
Index: 138, uu: 6, fitness[0]: 160
