Index: 205, uu: 6, fitness[0]: 280
Index: 202, uu: 0, fitness[0]: 150
Index: 211, uu: 6, fitness[0]: 190
Index: 213, uu: 6, fitness[0]: 280
Index: 206, uu: 6, fitness[0]: 250
Index: 200, uu: 6, fitness[0]: 220
Index: 207, uu: 6, fitness[0]: 250
Index: 201, uu: 6, fitness[0]: 130
Index: 203, uu: 6, fitness[0]: 310
Index: 215, uu: 6, fitness[0]: 250
Index: 204, uu: 6, fitness[0]: 190
Index: 214, uu: 6, fitness[0]: 160
Index: 208, uu: 6, fitness[0]: 100
Index: 209, uu: 6, fitness[0]: 250
Index: 212, uu: 6, fitness[0]: 160
Index: 210, uu: 6, fitness[0]: 280
Index: 216, uu: 6, fitness[0]: 250
Index: 217, uu: 0, fitness[0]: 210
Index: 219, uu: 6, fitness[0]: 250
Index: 218, uu: 0, fitness[0]: 180
