Index: 28, uu: 0, fitness[0]: 210
Index: 25, uu: 0, fitness[0]: 150
Index: 21, uu: 0, fitness[0]: 210
Index: 35, uu: 6, fitness[0]: 160
Index: 30, uu: 0, fitness[0]: 180
Index: 29, uu: 0, fitness[0]: 180
Index: 20, uu: 6, fitness[0]: 250
Index: 26, uu: 6, fitness[0]: 220
Index: 27, uu: 6, fitness[0]: 250
Index: 22, uu: 0, fitness[0]: 210
Index: 31, uu: 0, fitness[0]: 180
Index: 34, uu: 6, fitness[0]: 100
Index: 33, uu: 6, fitness[0]: 190
Index: 23, uu: 6, fitness[0]: 250
Index: 24, uu: 6, fitness[0]: 160
Index: 32, uu: 6, fitness[0]: 340
Index: 37, uu: 6, fitness[0]: 250
Index: 38, uu: 6, fitness[0]: 220
Index: 39, uu: 6, fitness[0]: 220
Index: 36, uu: 0, fitness[0]: 210
