Index: 184, uu: 0, fitness[0]: 180
Index: 187, uu: 6, fitness[0]: 280
Index: 183, uu: 6, fitness[0]: 100
Index: 185, uu: 0, fitness[0]: 210
Index: 194, uu: 6, fitness[0]: 250
Index: 193, uu: 6, fitness[0]: 220
Index: 181, uu: 0, fitness[0]: 210
Index: 188, uu: 6, fitness[0]: 160
Index: 189, uu: 6, fitness[0]: 220
Index: 191, uu: 6, fitness[0]: 220
Index: 192, uu: 0, fitness[0]: 180
Index: 180, uu: 6, fitness[0]: 160
Index: 195, uu: 0, fitness[0]: 180
Index: 182, uu: 0, fitness[0]: 180
Index: 190, uu: 6, fitness[0]: 190
Index: 186, uu: 6, fitness[0]: 250
Index: 198, uu: 6, fitness[0]: 160
Index: 196, uu: 6, fitness[0]: 280
Index: 199, uu: 6, fitness[0]: 250
Index: 197, uu: 6, fitness[0]: 250
