Index: 371, uu: 0, fitness[0]: 180
Index: 375, uu: 6, fitness[0]: 250
Index: 368, uu: 0, fitness[0]: 180
Index: 361, uu: 0, fitness[0]: 150
Index: 373, uu: 0, fitness[0]: 180
Index: 366, uu: 0, fitness[0]: 210
Index: 367, uu: 6, fitness[0]: 130
Index: 374, uu: 0, fitness[0]: 180
Index: 365, uu: 6, fitness[0]: 130
Index: 369, uu: 6, fitness[0]: 160
Index: 370, uu: 6, fitness[0]: 310
Index: 364, uu: 6, fitness[0]: 310
Index: 360, uu: 0, fitness[0]: 210
Index: 372, uu: 6, fitness[0]: 250
Index: 362, uu: 6, fitness[0]: 310
Index: 363, uu: 6, fitness[0]: 100
Index: 377, uu: 6, fitness[0]: 220
Index: 376, uu: 6, fitness[0]: 220
Index: 379, uu: 0, fitness[0]: 150
Index: 378, uu: 0, fitness[0]: 180
