Index: 171, uu: 6, fitness[0]: 280
Index: 162, uu: 6, fitness[0]: 280
Index: 161, uu: 6, fitness[0]: 190
Index: 168, uu: 6, fitness[0]: 250
Index: 174, uu: 6, fitness[0]: 310
Index: 164, uu: 0, fitness[0]: 120
Index: 175, uu: 6, fitness[0]: 280
Index: 163, uu: 6, fitness[0]: 220
Index: 173, uu: 6, fitness[0]: 250
Index: 160, uu: 6, fitness[0]: 160
Index: 167, uu: 6, fitness[0]: 250
Index: 169, uu: 6, fitness[0]: 220
Index: 165, uu: 6, fitness[0]: 190
Index: 172, uu: 6, fitness[0]: 100
Index: 170, uu: 0, fitness[0]: 210
Index: 166, uu: 6, fitness[0]: 220
Index: 177, uu: 6, fitness[0]: 220
Index: 179, uu: 6, fitness[0]: 250
Index: 176, uu: 6, fitness[0]: 280
Index: 178, uu: 0, fitness[0]: 210
