Index: 70, uu: 0, fitness[0]: 180
Index: 60, uu: 0, fitness[0]: 180
Index: 62, uu: 6, fitness[0]: 190
Index: 72, uu: 0, fitness[0]: 180
Index: 63, uu: 6, fitness[0]: 280
Index: 74, uu: 6, fitness[0]: 280
Index: 71, uu: 0, fitness[0]: 180
Index: 73, uu: 6, fitness[0]: 220
Index: 66, uu: 6, fitness[0]: 310
Index: 61, uu: 6, fitness[0]: 130
Index: 67, uu: 6, fitness[0]: 280
Index: 65, uu: 6, fitness[0]: 130
Index: 69, uu: 0, fitness[0]: 180
Index: 68, uu: 6, fitness[0]: 220
Index: 75, uu: 6, fitness[0]: 310
Index: 64, uu: 0, fitness[0]: 180
Index: 79, uu: 0, fitness[0]: 150
Index: 78, uu: 0, fitness[0]: 180
Index: 77, uu: 0, fitness[0]: 150
Index: 76, uu: 6, fitness[0]: 220
