Index: 328, uu: 0, fitness[0]: 210
Index: 332, uu: 6, fitness[0]: 130
Index: 333, uu: 6, fitness[0]: 250
Index: 325, uu: 6, fitness[0]: 190
Index: 334, uu: 6, fitness[0]: 190
Index: 330, uu: 0, fitness[0]: 180
Index: 329, uu: 0, fitness[0]: 180
Index: 335, uu: 0, fitness[0]: 180
Index: 323, uu: 6, fitness[0]: 250
Index: 321, uu: 6, fitness[0]: 280
Index: 324, uu: 6, fitness[0]: 160
Index: 326, uu: 6, fitness[0]: 130
Index: 322, uu: 6, fitness[0]: 250
Index: 331, uu: 6, fitness[0]: 160
Index: 320, uu: 0, fitness[0]: 240
Index: 327, uu: 0, fitness[0]: 150
Index: 336, uu: 0, fitness[0]: 180
Index: 339, uu: 6, fitness[0]: 190
Index: 337, uu: 6, fitness[0]: 220
Index: 338, uu: 6, fitness[0]: 130
