Index: 254, uu: 6, fitness[0]: 190
Index: 255, uu: 6, fitness[0]: 220
Index: 245, uu: 6, fitness[0]: 160
Index: 240, uu: 0, fitness[0]: 150
Index: 251, uu: 6, fitness[0]: 160
Index: 253, uu: 0, fitness[0]: 180
Index: 246, uu: 6, fitness[0]: 280
Index: 248, uu: 6, fitness[0]: 280
Index: 250, uu: 6, fitness[0]: 130
Index: 241, uu: 6, fitness[0]: 190
Index: 242, uu: 6, fitness[0]: 280
Index: 249, uu: 0, fitness[0]: 150
Index: 247, uu: 6, fitness[0]: 130
Index: 252, uu: 6, fitness[0]: 280
Index: 243, uu: 6, fitness[0]: 220
Index: 244, uu: 6, fitness[0]: 160
Index: 259, uu: 6, fitness[0]: 190
Index: 258, uu: 6, fitness[0]: 190
Index: 256, uu: 6, fitness[0]: 220
Index: 257, uu: 0, fitness[0]: 120
